,Story,Sentence,Type
0,חברו של האדם - דמיטרי דנילוב,לחמניות חמות.,Descriptive
1,חברו של האדם - דמיטרי דנילוב,"דירת חדר מתקופת חרושצ'וב בבניין ישן אפור בן חמש קומות בעיר אגמים,",Descriptive
2,חברו של האדם - דמיטרי דנילוב,"האדם מביט בחלון, וכמעט ולא רואה דבר",NotDescriptive
3,חברו של האדם - דמיטרי דנילוב,הקרון גדוש באנשים,Descriptive
4,חברו של האדם - דמיטרי דנילוב,משקה כהלי חזק,Descriptive
5,חברו של האדם - דמיטרי דנילוב,הוא מתעורר לרגע קט כשהאוטובוס חולף,NotDescriptive
6,חברו של האדם - דמיטרי דנילוב,"מעט בו זמנית צץ לו בקרון סוחר זריז עם עטי כתיבה אוטומטיים, עטי כתיבה אוטומטיים, צועק הסוחר הזריז, עטי כתיבה, עטי כתיבה, נכנס ויוצא, יוצא ונכנס.",Descriptive
7,חברו של האדם - דמיטרי דנילוב,מלבד היער וסממנים המעידים על הנוכחות האנושית שלפרקים צצים בין העצים,Descriptive
8,חברו של האדם - דמיטרי דנילוב,"אישה מבוגרת אחת אומרת לאישה המבוגרת השניה: הנה, תראי, גנבו הכל, עד הלֶבֶנָה האחרונה, רק את המשטחים השאירו.  כן-כן, עונה האישה המבוגרת השניה לאישה המבוגרת הראשונה.",NotDescriptive
9,חברו של האדם - דמיטרי דנילוב,שוב נרדם ומתעורר סופית רק לקראת הכניסה לפיסגובו,NotDescriptive
10,חברו של האדם - דמיטרי דנילוב,"בכניסה לתחנת ""שִרְיוֺנִיצִי"" האדם רואה בניין רעוע להחריד, בנוי מלבנים אדומות.
",Descriptive
11,חברו של האדם - דמיטרי דנילוב,בניין מודרני יפה ועגול הצבוע בגוון כחול-אפור.,Descriptive
12,חברו של האדם - דמיטרי דנילוב,האדם רואה יער.,NotDescriptive
13,חברו של האדם - דמיטרי דנילוב,כעשרה לקטים יורדים בה ומעמיקים לתוך היער.,Descriptive
14,חברו של האדם - דמיטרי דנילוב,"יערות ותחנות ביניים זערוריות של מסילת ""אגמים – גלותין""",Descriptive
15,חברו של האדם - דמיטרי דנילוב,כשהאוטובוס פונה מנתיב סובב מוסקבה לדרך ריאזאן,Descriptive
16,חברו של האדם - דמיטרי דנילוב,"האדם רואה אסופת מוניות שירות לבנות על יד תחנת ""שריוניצי"".",Descriptive
17,חברו של האדם - דמיטרי דנילוב,"האדם רואה רק יער, אך כעבור זמן מה לצד תחנת ביניים ""שִמְעוֺנוֺבְסְקִי"" נראים גם כמה בתים",Descriptive
18,חברו של האדם - דמיטרי דנילוב,"ברנש עליז,",Descriptive
19,חברו של האדם - דמיטרי דנילוב,"לו היה מעשן ― היה לבטח מדליק סיגריה, כפי שנהוג בקרב מעשנים כשהם שקועים בהרהורים.",NotDescriptive
20,חברו של האדם - דמיטרי דנילוב,"תחנת ""שריוניצי"" ממוקמת הרחק למדי מהעיר שריוניצי, כשניים-עשר קילומטרים מעברו השני של נהר מוסקבה, מוניות השירות הלבנות האלו מסיעות אנשים מהעיר שריוניצי לתחנת ""שריוניצי"" וחוזר חלילה.",Descriptive
21,חברו של האדם - דמיטרי דנילוב,כנסייה גבוהה ויפה של שריוניצי ,Descriptive
22,חברו של האדם - דמיטרי דנילוב,"פקח-ברנש תולה באדם מבט שואל, האדם אומר: ""אגמים"", פקח-ברנש אומר: ארבעים ותשע וחצי, האדם מושיט לפקח-ברנש חמישים רובל, פקח-ברנש מחזיר לאדם חמישים קופייקי",NotDescriptive
23,חברו של האדם - דמיטרי דנילוב,"מגרש ריק גדול שבשטחו, ככל הנראה, היה פעם מפעל או מחסן",Descriptive
24,חברו של האדם - דמיטרי דנילוב,מעבר תת-קרקעי מתחת לפסי הרכבת,Descriptive
