,Story,Sentence,Type
0,צפירה - אתגר קרת,"""שמעת,"" אמר לי צורי בפה מלא פלאפל, ""שרון עבר היום את הראיון,
אחרי הגיוס יש לו עוד איזה גיבושון קטן, והוא בשייטת",NotDescriptive
1,צפירה - אתגר קרת,"תאום משום מקום באה צפירה ,שכחתי בכלל שהיום יום
הזכרון. שרון וגלעד הזדקפו שניהם. ",NotDescriptive
2,צפירה - אתגר קרת,ביום השואה לקחו את כל הכיתות לאולם התעמלות.,NotDescriptive
3,צפירה - אתגר קרת,ואני התחלתי ללכת. ,NotDescriptive
4,צפירה - אתגר קרת," אתה יודע מה
זה להיות בשייטת? הם בוחרים אחד מאלף..."" אביב התחיל לקלל",NotDescriptive
5,צפירה - אתגר קרת,"הסתכלתי עליהם עומדים כמו בובות
בחלון ראווה",Descriptive
6,צפירה - אתגר קרת,"באולם סידרו מין
במה מאולתרת ומאחוריה הדביקו על הקיר בריסטולים שחורים עם
שמות של מחנות ריכוז וציורים של גדרות תיל",Descriptive
7,צפירה - אתגר קרת,"""לא, לא משם"", משכה את זרועי.",NotDescriptive
8,צפירה - אתגר קרת,"היית צריך לראות אותם עושים חארקות על האופניים של
שולם, כמו ילדים קטנים",NotDescriptive
9,צפירה - אתגר קרת,"איפה שרון?"" שאלתי, ""לא ראיתי אותו היום."" הקול שלי
קצת רעד",NotDescriptive
10,צפירה - אתגר קרת,וכל הפחד שלי פתאום נעלם,NotDescriptive
11,צפירה - אתגר קרת,"כשנכנסנו לאולם, סיון
ביקשה ממני שאשמור לה מקום. תפסתי לנו שני מקומות.",NotDescriptive
12,צפירה - אתגר קרת,"""הם יבואו מהשער אז כדאי שתצא מהחור בגדר שמאחורי
הצריפים""",NotDescriptive
13,צפירה - אתגר קרת,"שרון היה מה זה מרוצה שעבר את שלב
הראיון ",NotDescriptive
14,צפירה - אתגר קרת,"שרון במבדקים של הקומנדו הימי,"" אמרה סיון בגאווה,
""הוא כבר עבר כמעט את כל השלבים, נשאר לו רק עוד איזה ראיון"".",NotDescriptive
15,צפירה - אתגר קרת," גלעד שעמד מתוח, עיניו
עצומות, והחזיק את הז'קט של שרון בידו נראה לי כמו קולב בגדים
מגודל",NotDescriptive
16,צפירה - אתגר קרת,"הג'ינס היה דק ונעים כזה, והתרגשתי כאילו נגעתי
לה ממש בגוף.",Descriptive
17,צפירה - אתגר קרת,"שמחתי שסיון דואגת לי כל-כך, אפילו יותר משפחדתי ",NotDescriptive
18,צפירה - אתגר קרת,".אח שלי אמר שדווקא בראיון האישי נופלים הכי הרבה."" הלכתי 
למגרש של בית-ספר, אבל אף אחד לא היה שם. האופניים של שולם,
שהיו קשורות תמיד למעקה שליד חדר האחות, נעלמו ",NotDescriptive
19,צפירה - אתגר קרת,"מרחוק ראיתי את גלעד מתקרב אלינו במעבר, ""אתה יודע שהוא הולך
לקבל במסיבת סיום פרס תלמיד מצטיין? המנהל כבר הודיע""",NotDescriptive
20,צפירה - אתגר קרת,"ושרון, עם המבט הרצחני שלו והיד המאוגרפת,",NotDescriptive
21,צפירה - אתגר קרת,"מה מהטתניקים עלו על הבמה והטקס
התחיל ",Descriptive
22,צפירה - אתגר קרת,מאחורי הצריפים חיכה לי שרון.,NotDescriptive
23,צפירה - אתגר קרת,"בבוקר שבאתי לבית-ספר
האופניים עוד לא היו שם",NotDescriptive
24,צפירה - אתגר קרת,"""סיון"",
אמר גלעד שהגיע כבר ממש עד אלינו, ""מה את עושה כאן? הספסלים
האלה ממש לא נוחים.",NotDescriptive
