,Sentence,Type,Story
0,"לבלה יש עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.",Descriptive,General
1,"למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים ישרים כך שהיא נראית גבוהה היום.",Descriptive,General
2,"לדני יש מזג גבוה, כך שהיא יכולה לנזוף בכל מי שניגש אליה אתמול.",Descriptive,General
3,"מר באודי לובש היום שמלה רשמית בצבע חום-כתום, נראה שהוא יגיע לפגישה.",Descriptive,General
4,"כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.",Descriptive,General
5,הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן,Descriptive,General
6,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.",Descriptive,General
7,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל 56 ק""ג עם גובה 170 ס""מ.",Descriptive,General
8,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,General
9,"לאתא יש שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,General
10,"צפרדע היא דו-חיים שאוכלת חרקים ויכולה לחיות ביבשה ומים מתוקים, עורו חלקלק וגופו ירוק או חום אדמדם.",Descriptive,General
11,"האריה הזכר אורך של 260 עד 330 ס""מ ואילו האריה הנקבי אורך של 240 עד 270 ס""מ.",Descriptive,General
12,"נחשים הם קבוצה של זוחלים שאין להם רגליים וגם להם גוף ארוך, נחשים התפשטו בכל העולם.",Descriptive,General
13,"חתולים פרסיים הם זן חתולים ביתיים, בעלי אופי פנים ארוך ועגול פנים וחוטם קצר.",Descriptive,General
14,בסוף המאה ה -19 פותחו חתולים פרסיים בארצות הברית ובבריטניה לאחר תום מלחמת העולם השנייה.,Descriptive,General
15,"בבריטניה, גזע החתולים הפרסי נקרא גם חתול הפרווה הארוך הפרסי, חתול זה מחולק לשני סוגים כלומר צ'ינצ'ילות שהן כסופות בהירות וגם מעט כהות.",Descriptive,General
16,"זיקית רעמה בגודל בינוני עם זנב ארוך. אורך גוף הזיקית הוא כ- 55 ס""מ.",Descriptive,General
17,ניתן לזהות זיקיות רעמה משורות ההשמדה שנמצאות מאחורי הצוואר.,Descriptive,General
18,"שפיריות טווח 4.5 ס""מ.",Descriptive,General
19,"כנפי שפירית יכולות להשתרע בין 7.2 ס""מ ל 8.4 ס""מ.",Descriptive,General
20,קל יותר לגדל צמחי פרנגיפני באזורים שגובהם לא עולה על 700 מ 'מעל פני הים.,Descriptive,General
21,לצמחים של פרנגיפאני יש גם צורת עץ בגובה 1.5 מ '- 6 מ'.,Descriptive,General
22,"בצמחי פרנגיפני יש גם כל מיני צבעים כמו צהוב, אדום, ורוד, לבן וכדומה.",Descriptive,General
23,"לצמחי טארו צורות אופייניות, כלומר צורת העלים בדיוק כמו סמל הלב או הלב.",Descriptive,General
24,עלי צמחי הטארו הם בדרך כלל חלקלקים ומכילים ציפוי שעווה.,Descriptive,General
25,גודלו של צמח הטארו לעולם אינו עולה על 1 מ '.,Descriptive,General
26,בצמחי ורדים יש 100 מינים ומעלה.,Descriptive,General
27,Bungamawar בדרך כלל יש גבעולים קוצניים והוא יכול להגיע לגובה של 2-5 מ '.,Descriptive,General
28,"צבעונים הם צמחים רב שנתיים בעלי נורות וגובה הנע בין 10 ל -70 ס""מ.",Descriptive,General
29,"גם לטוליפס צורה צרה ומאורכת, והצבע ירוק עם תחושה כחלחלה.",Descriptive,General
30,"האופניים החדשים של ראיין יפה מאוד, מכיוון שיש בו תערובת של אדום ושחור.",Descriptive,General
31,"המשקפיים של סלי נופלים בצומת דרכים, והזכוכית השבורה זרועה אספלט.",Descriptive,General
32,המכונית הלבנה חונה בצד הדרך כך שאנשים אחרים מתקשים להשתמש גם בכביש.,Descriptive,General
33,"המחשב הנייד החדש שלי הוא כחול בהיר, ויש לו 4 ג'יגה-בתים של זיכרון RAM.",Descriptive,General
