,Story,Sentence,Type
0,גיא עד גוש דן,"רחמו עלי, בכו, אמרו שלא כדאי לחשוב איך היו קוראים לאח שלי אילו היה לי אח, שרק בעזרת השם הגעתי לאן שהגעתי, שההורים שלי חולירות.",Descriptive
1,גיא עד גוש דן,"חזר לַצחוק שלו בחשק רב, כאילו אינו מוכן לוותר על מה שזימנו לו החיים באותו רגע.",Descriptive
2,גיא עד גוש דן," לא היו לי הוכחות פרט לַפמפום שפקד את גופי, והייתי ממש על הסף, אבל לא כל אחד יכול להרשות לעצמו שבר נפשי, ובודאי שלא אנה פרנק.",NotDescriptive
3,גיא עד גוש דן,הגיעו הדברים לידי כך שנשבעתי לעצמי שבבוא היום אשנה את שמי.,NotDescriptive
4,גיא עד גוש דן,היה ערב בעיר הערבית.,Descriptive
5,גיא עד גוש דן,והוא מת.,NotDescriptive
6,גיא עד גוש דן,הוא הרצין לשנייה אחת וחזר לַצחוק שלו ,NotDescriptive
7,גיא עד גוש דן,הוא התחיל לצחוק למשמע שמי. לראשונה בחיי.,NotDescriptive
8,גיא עד גוש דן,"אז, הוא, וקרוב לודאי גם זה שמעבר לקו, התפקעו מצחוק ודן הזמין אותו להיווכח במו עיניו.",NotDescriptive
9,גיא עד גוש דן,לפחות לא מיד. ,NotDescriptive
10,גיא עד גוש דן,כשהתקשר אליו חבר שמעתי אותו מספר שאנחנו יושבים על הגזוזטרה וסועדים את נשמותינו בתבשיל הזנב המהמם שהכין במו ידיו.,NotDescriptive
11,גיא עד גוש דן,"'זה יכול להסביר הרבה דברים,' הוא ענה. 'ואיך קוראים לך?'",NotDescriptive
12,גיא עד גוש דן,"כך התוודעתי מעט לחברים של דן בן-אמוץ, שבאו להתרשם.",NotDescriptive
13,גיא עד גוש דן,הוא לא התקשר יותר ולא קבע איתי במקומות.,NotDescriptive
14,גיא עד גוש דן,אמרתי: 'נעים גם לי מאד. לא שמעתי עליך. אני לא מהגוש'.,NotDescriptive
15,גיא עד גוש דן,"בגיל חמש לא הבנתי מדוע מרכיבים הורי משקפי שמש בביתה החשוך של אנה פרנק, ולא רק הם, כל המבוגרים שהביאו את ילדיהם לשם.",NotDescriptive
16,גיא עד גוש דן,קוראים לי אנה פרנק.,NotDescriptive
17,גיא עד גוש דן,יום אחד,NotDescriptive
18,גיא עד גוש דן,"""עם אנה פרנק... כן, בחיי'.",Descriptive
19,גיא עד גוש דן,"כשהתקשרתי אני, ענו לי החברים שהוא חולה ולא נתנו לי לדבר איתו.",NotDescriptive
20,גיא עד גוש דן,אני לא אנה של היומן אבל בהחלט נקראתי על שמה מהסיבות הרגילות ובגיל חמש נלקחתי לאמסטרדם כדי לבקר במחבוא שלה ושל בני-משפחתה.,NotDescriptive
21,גיא עד גוש דן,"בסופו של דבר, אחרי כמה שבועות של שוטטויות ימינה שמאלה, ונישוקים, הביאה אותי המונית אל ביתו המאוד יפה ביפו המאוד יפה. ",NotDescriptive
22,גיא עד גוש דן,"חתיכת חרוז, אמרתי לו בהתפעלות. ",NotDescriptive
23,גיא עד גוש דן,חיפשתי את ספריו בחנויות ספרים. הספרים נעלמו.,NotDescriptive
24,גיא עד גוש דן,"מתוך געגוע, נוסטלגיה או השד יודע מה, ",Descriptive
25,גיא עד גוש דן,לא חזרתי לדירתי השכורה.,NotDescriptive
26,גיא עד גוש דן,"הוא הרצין לשנייה אחת וחזר לַצחוק שלו בחשק רב, כאילו אינו מוכן לוותר על מה שזימנו לו החיים באותו רגע. ",NotDescriptive
27,גיא עד גוש דן,"הגלבייה הלבנה שלו היתה פתוחה בחלקה העליון והבחנתי בפספּוס על חזהו, פספוס שנראה כמו ריצ'רץ'.",NotDescriptive
28,גיא עד גוש דן,הוא טפח בעדינות על גבי העליון והתיישב לידי.,NotDescriptive
29,גיא עד גוש דן,"הם התחילו לטפל בו, להטיס אותו לארצות אחרות ולשדך אותו לטובי המומחים.",NotDescriptive
30,גיא עד גוש דן,"הוא אמר, 'על אמא שלך, על אבא שלך, על הדוד שלך. עלייך. הכלהכלהכל'.",Descriptive
31,גיא עד גוש דן,חיכיתי לרגע. אולם אירוע מסוים בחיי השפיע עלי בדרך זו או אחרת ולכן עדיין קוראים לי אנה פרנק.,NotDescriptive
32,גיא עד גוש דן,"למחרת בבוקר, אחרי הקפה, חשבתי ללכת הביתה, כולי חיוך אחד גדול, אבל דן ( 'אנה, קראי לי דן' ) חזר בדיוק הביתה עם הרבה שקיות ונכנס למטבח.",NotDescriptive
33,גיא עד גוש דן,אני רוצה לדעת הכל',NotDescriptive
34,גיא עד גוש דן,הם נתנו בי מבט שגרם לי להרכין ראש.,NotDescriptive
35,גיא עד גוש דן,'אנה פרנק'.,NotDescriptive
36,גיא עד גוש דן,"אז שכחתי את מה שזכרתי, הקמתי משפחה, וברחתי קדימה.
",NotDescriptive
37,גיא עד גוש דן,"בהתעלם מהנסיבות שהביאו את משפחת פרנק להסתגר שם, המחבוא נראה סימפטי, ואמסטרדם הסבירה פנים.",Descriptive
38,גיא עד גוש דן,הלכתי לראות את הבית שלו. ,NotDescriptive
39,גיא עד גוש דן,שתינו קצת יין ופטפטנו.,Descriptive
40,גיא עד גוש דן,אין ספק שהשם שלי בעייתי.,NotDescriptive
41,גיא עד גוש דן,הוא לא עשה רושם שהוא רוצה להיכנס לזה. ,NotDescriptive
42,גיא עד גוש דן,"שאלתי, אבל הוא חייך חיוך עייף, ואמר שהוא צריך לנוח. הוא הזמין לי מונית ונפרדנו לשלום.",NotDescriptive
