Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,"קשה להמציא סיפור כשלוע של אקדח טעון מכוון לך לראש. אבל הבנאדם מתעקש.","

במדינה הזאת, הוא מסביר***קשה להמציא סיפור כשלוע של אקדח טעון מכוון לך לראש. אבל הבנאדם מתעקש.***יעבוד לטובתו. לטובתנו. ",509,578,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_25D2988E-6DB5-416F-9D2B-9E8E96311F79,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,הוא משתרע על הספה עם הקלסר שלו. השוודי מתיישב לידו.," אני עדיין עומד, מנסה***הוא משתרע על הספה עם הקלסר שלו. השוודי מתיישב לידו.***לי לפי גולגולת"". ",2482,2533,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_D0678D48-AA3D-4F35-A70C-59B5486D1FF5,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181," בשוודיה זה לגמרי אחרת.","

שם, אם רוצים משהו*** בשוודיה זה לגמרי אחרת.***הוא עולה חדש משוודיה.",669,693,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_A8C9930F-A80F-4012-A748-17D536021326,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,עמוס עוז או לגרוסמן זה בחיים לא היה קורה,. פתאום נשמעת דפיקה בדלת***עמוס עוז או לגרוסמן זה בחיים לא היה קורה***עצמי במצבים האלה? ל,3645,3685,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_6B02EBF5-0E4F-4CE2-81E2-85C6A4488B47,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181," הרביצו מכות, שפכו קצת שמן רותח על מג""בניקים,"," פתאום התחילו לבוא לקראתם.*** הרביצו מכות, שפכו קצת שמן רותח על מג""בניקים,***נכנסו? קדחת נכנסו.",1025,1070,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_182BBFB2-4F4E-4B89-A262-8F9124F3CD6B,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,כמו אוטו זבל.," תפעיל את הדמיון שלך,***כמו אוטו זבל.***עלינו את המציאות ככה, ",5266,5279,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_A34F9051-7984-40F5-8F6B-8803AE2156CA,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,מצווה האיש המזוקן שיושב אצלי על הספה בסלון.," המצב, אני מודה,***מצווה האיש המזוקן שיושב אצלי על הספה בסלון.***ספר לי סיפור"", ",16,59,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_E6C8C42A-8C22-43A5-8C43-92B4EFB3857B,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,שוודיה זה לא רק אבבא ואיקאה ופרס נובל,. שוודיה זה עולם ומלואו***שוודיה זה לא רק אבבא ואיקאה ופרס נובל***ומצליח בלא מעט תחומים. ,1289,1326,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_0F58D9AE-2F11-43B7-BAEA-F19636E57C4C,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,"חייל משוחרר שהשאיר חתיכה מהטחול שלו בלבנון, לסחבק אין אפילו דקה לתת""",". אני מנסה להסביר לו***חייל משוחרר שהשאיר חתיכה מהטחול שלו בלבנון, לסחבק אין אפילו דקה לתת""***זמן. אבל למרוקאי, ",2754,2822,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_9257BD4C-757A-438D-93BC-CCD0BEDF051A,,,
"tag=""%""@2021-12-27T13:51:02.45",D_DD890CF5-45C1-42E8-9248-23FBE309C2E3,פתאום דפיקה בדלת,6181,"אבטלה, פיגועים, איראנים. אנשים צמאים למשהו אחר",". מה אתה חושב שהביא***אבטלה, פיגועים, איראנים. אנשים צמאים למשהו אחר***. זאת תקופה קשה. ",4873,4919,C_8A923B91-69C6-4AE1-AF5C-FCD5CA076DA5,פתאום דפיקה בדלת Default Annotations,/נוף,,#BB9D2C,CATMA_F404DBBC-6B38-43B1-B040-D2F9012CCCD3,,,
