Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," גב היד השעירה שלו, כמו חולדה,"," נגעה בך. 120 יום*** גב היד השעירה שלו, כמו חולדה,***כשלקח ממך את הקופסה,",4520,4550,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_B95469DC-97DA-4655-B664-C818463A3F0F,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,גם הוא כבר לא צעיר,", כל הקהל מת.***גם הוא כבר לא צעיר***הסדרנים שחוץ מצופה אחד, ",2288,2306,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_942DA602-EA12-4D70-A544-10E992C8FC76,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"א לצאת לעבודה, לא ללכת לקניון, לא לשבת בבית קפה עם חברה",", לא לקבל פתאום ברחוב***א לצאת לעבודה, לא ללכת לקניון, לא לשבת בבית קפה עם חברה***כולם כבר התרגלו: ל",3131,3186,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_F65C1C57-A1C0-4B8B-99EF-9D8D358B3259,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,אני חושב שלכדורגלן הישראלי אין מה לחפש בליגות האירופיות ,"המובילות...""***אני חושב שלכדורגלן הישראלי אין מה לחפש בליגות האירופיות ***אדם לקבל החלטות גרועות. ",6093,6149,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_FEEC15D1-D506-4159-AFFB-ADD80FE3F615,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,משהו על אהבה שיכולה לרפא כמעט הכל ,"ועל איך, מאז שפגש***משהו על אהבה שיכולה לרפא כמעט הכל ***אבל גם מאיר עיניים, ",8358,8392,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_FE64FF8D-372E-4430-8E7E-5EC2C5A0A2D1,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"לא לקבל פתאום ברחוב חיבוק מעיק ממישהו ששירת איתך בצבא.
","
הממשלה נתנה לאנשים עוד כמה***לא לקבל פתאום ברחוב חיבוק מעיק ממישהו ששירת איתך בצבא.
***בבית קפה עם חברה, ",3188,3244,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_9E51D897-1391-4D53-AFE6-91C521AE09D1,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ראש השנה אם לדייק,"," למגע מיני בהסכמה. בערב***ראש השנה אם לדייק,***הובילה מאוחר יותר, ב",7582,7600,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_188E7E5B-BFE7-406C-8F51-3CD21DE88719,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ם אישה נמוכה, גמדה ממש, בעלת תווי פנים נאים",".

""אתם בטח מוצפים***ם אישה נמוכה, גמדה ממש, בעלת תווי פנים נאים***""כלל"", ע",5396,5439,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_DCED8FB0-0DF2-43A0-99A5-EBAC0E8A6CC9,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," את מחפשת בנייד משהו שיעזור לך להתאפס. פגישות קודמות, שיחות שלא נענו, כתובות בתזכורות."," ברחוב סביבך אנשים מתרוצצים,*** את מחפשת בנייד משהו שיעזור לך להתאפס. פגישות קודמות, שיחות שלא נענו, כתובות בתזכורות.***לא יודעת בדיוק לאן.",3791,3877,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_98EFFD23-44E8-40C0-A069-EC8DB5F0B21E,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"אני לא מכיר את הדמויות. הן יפות, הן נרגשות, הן צועקות זו על זו בספרדית. אין תרגום, אז קשה להבין על מה בדיוק. ","אני עוצם עיניים ונזכר באישה***אני לא מכיר את הדמויות. הן יפות, הן נרגשות, הן צועקות זו על זו בספרדית. אין תרגום, אז קשה להבין על מה בדיוק. ***. זה פרק 436 ו",1234,1343,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_197FB6AC-BA3B-423B-9955-90C94B74D3EE,,,
