,Story,Sentence,Type
0,אתגר קרת - סוסיקו,"ובאמת, מאיפה לו שלא יוולד איזה כולירה, כי ילדים זה כמו רולטה רוסית, אתה אף-פעם לא יודע מה תקבל בסוף בראש.",Descriptive
1,אתגר קרת - סוסיקו,"גם לה זה לא בא בקלות, אבל הפלה הפחידה אותה אפילו יותר, ואם הם כבר ממילא יודעים שהם בכיוון משפחה אז זה פשוט להקדים את המאוחר.",NotDescriptive
2,אתגר קרת - סוסיקו,אמרה הסבתא הגדולה בזמן שהיא מנדנדת את ראשה על פי קצב נעימת שיר הסיום של הסידרה ,Descriptive
3,אתגר קרת - סוסיקו,"הם קראו לו אביגדור, על שם הבעל של הסבתא הגדולה, זכרונו לברכה, וגידלו אותו עם המון אהבה.",NotDescriptive
4,אתגר קרת - סוסיקו,"וזה לא שהוא היה אדיש או משהו, הוא היה מאוד בעניין, כשאת המקום של הפחדים מחליפה ציפייה.",NotDescriptive
5,אתגר קרת - סוסיקו,"את החלומות הוא לא זכר, אבל היה מוכן להישבע שהם שמחים.",NotDescriptive
6,אתגר קרת - סוסיקו,הוא הלך לקנות משהו למחשב בקניון,NotDescriptive
7,אתגר קרת - סוסיקו,"משהו רציני, לא ברמה של איזה שיחה עם אמא או אפילו סבתא, משהו שדורש לא פחות מביקור אצל הסבתא הגדולה.",NotDescriptive
8,אתגר קרת - סוסיקו,"ראה שם ילד מגעיל באוברול, מכריח את האמא שלו לקנות לו משחק טלויזיה באיומי סרק שיטיל את הגופה השמנמנה שלו מעל המעקה של הקומה השניה.",Descriptive
9,אתגר קרת - סוסיקו,"בלילה, תחכה עד שהיא נרדמת, ואז תשכב כשהראש שלך יהיה צמוד לה לבטן.",NotDescriptive
10,אתגר קרת - סוסיקו,"בהתחלה, כשעוד לא היה בטן, היה מנסה לא לחשוב על זה, לא שזה עזר, אבל לפחות היה לאן לחתור.",NotDescriptive
11,אתגר קרת - סוסיקו,פעם,NotDescriptive
12,אתגר קרת - סוסיקו,"כל היום היא היתה יושבת בבית וטוחנת טלנובולות, וגם כשכבר היתה מסכימה שמישהו יבוא לביקור, לא היתה מוכנה לכבות את הטלויזיה.",Descriptive
13,אתגר קרת - סוסיקו,"ואפילו כשראה את הרופא המיילד מסתודד עם האחיות וניגש אליו אחר-כך בצעד מהסס, לא איבד לשניה את הביטחון שהכל יסתדר.",NotDescriptive
14,אתגר קרת - סוסיקו,"'ממה?' שאלה הסבתא הגדולה בזמן שהיא בוהה באיזה ויקטור אחד עם שפם שבדיוק גילה למישהי עטופה במגבת שהוא בעצם האבא שלה 'לא יודע,' מילמל, 'שיוולד איזה משהו שלא רציתי בכלל.'",MightDescriptive
15,אתגר קרת - סוסיקו,"וישר הסתלק משם, לפני שהאמא ההיסטרית תביא עליו את הביטחון. ",NotDescriptive
16,אתגר קרת - סוסיקו,"הוא גם לא זכר בחיים שלו תקופה שישן ככה, שלו כזה, לא קם אפילו לפיפי.",MightDescriptive
17,אתגר קרת - סוסיקו,"מלחיץ אותך,' צחקה 'תראה איך אתה מזיע.' 'בטח שמלחיץ,' ניסה לצחוק חזרה 'את קל לך, יא זונה, לך יש רחם, אבל אני, את מכירה אותי, אני נלחץ גם כשאין ממה, ועכשיו, כשכבר יש..' 'גם אני מפחדת,' אמרה והתכרבלה לתוכו 'עזבי,' חיבק 'בסוף זה יתגלץ', עוד תראי.",Descriptive
18,אתגר קרת - סוסיקו,"בלילות, אחרי שכולם נרדמו, הוא היה מכבה את הטלויזיה והולך להסתכל על אביגדור שישן על ערמת החציר שפיזר לו על ריצפת חדר הילדים.",NotDescriptive
19,אתגר קרת - סוסיקו,"תקשיב לי טוב, נין,",NotDescriptive
20,אתגר קרת - סוסיקו,"האמת שאחרי הלידה היא היתה הרבה זמן בדיכאון, ולמרות שאף-פעם לא דיברו על זה, הוא ידע שכמה שאהבה את אביגדור, עמוק בלב היא רצתה משהו אחר.",NotDescriptive
21,אתגר קרת - סוסיקו,"היא לא ממש הבינה את התנוחה המצחיקה הזאת שבה היתה מוצאת אותו בבוקר, אבל הסתפקה בזה ששוב היה רגוע, והוא גם נשאר רגוע כל הדרך, עד חדר הלידה.",NotDescriptive
22,אתגר קרת - סוסיקו, כל-כך חזק שאי-אפשר להגיד אותו במילים.,NotDescriptive
23,אתגר קרת - סוסיקו,"פעם, בערך בחודש השלישי, הוא הלך לקנות משהו למחשב בקניון, וראה שם ילד מגעיל באוברול, מכריח את האמא שלו לקנות לו משחק טלויזיה באיומי סרק שיטיל את הגופה השמנמנה שלו מעל המעקה של הקומה השניה.",MightDescriptive
24,אתגר קרת - סוסיקו,"שלו כזה, לא קם אפילו לפיפי.",Descriptive
25,אתגר קרת - סוסיקו,"היה מתחתן איתה-רבנות מחר, רק שכל הסיפור הזה עם התינוק הלחיץ אותו אש.",NotDescriptive
26,אתגר קרת - סוסיקו, אבל באמת,NotDescriptive
27,אתגר קרת - סוסיקו,"אחר-כך, כשכבר התחילו טיפה לראות, היה מדמיין אותו יושב לה בבטן, קטן כזה, מאנייק, עם חליפה של עסקן.",NotDescriptive
28,אתגר קרת - סוסיקו,"מאחורה, עמוק בפנים, יכול היה להרגיש את הטחורים שלו נפתחים אחד אחרי השני כמו פרחים באביב",NotDescriptive
29,אתגר קרת - סוסיקו,"אחר-כך היא בכתה קצת, והוא הרגיע, ואז נרדמה, והוא לא.",NotDescriptive
30,אתגר קרת - סוסיקו,"והוא התחיל להרגיש שזה לא עסק, שהוא חייב לעשות משהו.",NotDescriptive
31,אתגר קרת - סוסיקו,"בסוף נולד להם סוס פוני, או שאולי יותר נכון לומר סייח.",Descriptive
32,אתגר קרת - סוסיקו,"במקלון יש חלון קטן, כשיש בו רק פס אחד זה אומר שהכל בסדר, וכשיש שניים - פייר, תמיד רצית להיות אבא.",NotDescriptive
