,Story,Sentence,Type
0,גשרים-גילי דודיקמן 2016,התיישבה על המיטה וסירבה להאמין שככה נגמר הריב ביניהם אתמול.,NotDescriptive
1,גשרים-גילי דודיקמן 2016,התיישבה על המיטה וסירבה להאמין שככה נגמר הריב ביניהם אתמול.,NotDescriptive
2,גשרים-גילי דודיקמן 2016,התיישבה על המיטה וסירבה להאמין שככה נגמר הריב ביניהם אתמול.,NotDescriptive
3,גשרים-גילי דודיקמן 2016,זיכרון של ריח האספלט הטרי עדיין גורם לה להתרגש כל פעם מחדש.,Descriptive
4,גשרים-גילי דודיקמן 2016,זיכרון של ריח האספלט הטרי עדיין גורם לה להתרגש כל פעם מחדש.,Descriptive
5,גשרים-גילי דודיקמן 2016,זיכרון של ריח האספלט הטרי עדיין גורם לה להתרגש כל פעם מחדש.,Descriptive
6,גשרים-גילי דודיקמן 2016,"אם יחליט לשתות או אולי לוותר ולהצטרף אליה, לשבת לידה ולשתוק ביחד, כמו פעם.",Descriptive
7,גשרים-גילי דודיקמן 2016,"אם יחליט לשתות או אולי לוותר ולהצטרף אליה, לשבת לידה ולשתוק ביחד, כמו פעם.",Descriptive
8,גשרים-גילי דודיקמן 2016,"אם יחליט לשתות או אולי לוותר ולהצטרף אליה, לשבת לידה ולשתוק ביחד, כמו פעם.",Descriptive
9,גשרים-גילי דודיקמן 2016,היא ישבה על יד שולחן גבוה,NotDescriptive
10,גשרים-גילי דודיקמן 2016,היא ישבה על יד שולחן גבוה,NotDescriptive
11,גשרים-גילי דודיקמן 2016,היא ישבה על יד שולחן גבוה,NotDescriptive
12,גשרים-גילי דודיקמן 2016,"אימא שלה חלתה באלצהיימר, לה היה גשר בכיס, ואבא שלה לקח את האוטו ועזב את הבית.",NotDescriptive
13,גשרים-גילי דודיקמן 2016,"אימא שלה חלתה באלצהיימר, לה היה גשר בכיס, ואבא שלה לקח את האוטו ועזב את הבית.",NotDescriptive
14,גשרים-גילי דודיקמן 2016,"אימא שלה חלתה באלצהיימר, לה היה גשר בכיס, ואבא שלה לקח את האוטו ועזב את הבית.",NotDescriptive
15,גשרים-גילי דודיקמן 2016,"בלהט של הרגע היא צעקה לו מהחדר שתעזוב עוד באותו היום, כי חבל לדחות את הקץ.",NotDescriptive
16,גשרים-גילי דודיקמן 2016,"בלהט של הרגע היא צעקה לו מהחדר שתעזוב עוד באותו היום, כי חבל לדחות את הקץ.",NotDescriptive
17,גשרים-גילי דודיקמן 2016,"בלהט של הרגע היא צעקה לו מהחדר שתעזוב עוד באותו היום, כי חבל לדחות את הקץ.",NotDescriptive
18,גשרים-גילי דודיקמן 2016,"היא לא נהגה לעשן בצרורות, אבל בגלל שלא יכלה לשתות כי הייתה צריכה לנהוג חזרה, הרגישה צורך למלא את החלל הריק שנפער בינה לבין החברה שסבבה אותה.",NotDescriptive
