,Story,Sentence,Type
0,“איפה הראש שלי” מאת תמי לבנת מלכה,אני מורחת את גופה ,NotDescriptive
1,“איפה הראש שלי” מאת תמי לבנת מלכה,מערכת החינוך מסוכנת.,NotDescriptive
2,“איפה הראש שלי” מאת תמי לבנת מלכה,ריכזתי את כל הזעם שאספתי במשך שנים. זה לא עזר.,Descriptive
3,“איפה הראש שלי” מאת תמי לבנת מלכה,הו הגיון בריא! זהו יצר הישרדות! זו היכולת המופלאה להוציא את הטוב מהרע.,Descriptive
4,“איפה הראש שלי” מאת תמי לבנת מלכה,עכשיו היא מצפה שאני אשעשע אותה.,NotDescriptive
5,“איפה הראש שלי” מאת תמי לבנת מלכה,"היא אומרת: “אני מרחפת”, וגם: “אני מרגישה חדשה”. ",Descriptive
6,“איפה הראש שלי” מאת תמי לבנת מלכה,"לא אתחמק מהגננת, אחייך אליה.",NotDescriptive
7,“איפה הראש שלי” מאת תמי לבנת מלכה,גוף שלא אומר מאום.,Descriptive
8,“איפה הראש שלי” מאת תמי לבנת מלכה,ככה זה כשאוהבים.,Descriptive
9,“איפה הראש שלי” מאת תמי לבנת מלכה,"הגיעה לקיצה האחריות להיום, תכף אהיה לבד.",NotDescriptive
10,“איפה הראש שלי” מאת תמי לבנת מלכה,"פקעת עצבים חסרת סבלנות,",Descriptive
11,“איפה הראש שלי” מאת תמי לבנת מלכה,שוב צלצול בדלת.,NotDescriptive
12,“איפה הראש שלי” מאת תמי לבנת מלכה,אבל אני תמיד נתקלת בכל המטורפים בהליכת שש הדקות.,NotDescriptive
13,“איפה הראש שלי” מאת תמי לבנת מלכה,"אבל המחשבות בשלהן, בורחות. משהו לא בסדר.",NotDescriptive
14,“איפה הראש שלי” מאת תמי לבנת מלכה,"בתום הטיפול רותי משאירה לי טיפ של חמישים שקלים, בנוסף לתשלום הרגיל.",NotDescriptive
15,“איפה הראש שלי” מאת תמי לבנת מלכה,"נשארה האמא והילד, והיא שותה את הקפה שלה לאט-לאט. היא שותה את הקפה שלה לאט כל כך שאין לי ברירה. ",MightDescriptive
16,“איפה הראש שלי” מאת תמי לבנת מלכה,לא ידעתי איפה אני מתחילה והיכן אני נגמרת. לא ידעתי לחיות מחוץ למערה של דב.,Descriptive
17,“איפה הראש שלי” מאת תמי לבנת מלכה,בעטתי ברגליי בקצב מונוטוני בניסיון להירגע; המיטה חרקה מהבעיטות והחריקות גרמו להרגשה רעה עוד יותר,Descriptive
18,“איפה הראש שלי” מאת תמי לבנת מלכה,הזכרתי לעצמי שאני מוכרחה ללכת ל”בית הטבע” כדי לחדש את מלאי השמנים לפני שרותי תגיע היום לטיפול שלה.,NotDescriptive
19,“איפה הראש שלי” מאת תמי לבנת מלכה,ברגע ששמעתי את קולו פרצתי בבכי.,NotDescriptive
20,“איפה הראש שלי” מאת תמי לבנת מלכה,"הן מאולפות, ממושמעות.",Descriptive
21,“איפה הראש שלי” מאת תמי לבנת מלכה,הוא מנגב את הנשיקות שלי בגב כף ידו.,NotDescriptive
22,“איפה הראש שלי” מאת תמי לבנת מלכה,נקניקיות צפות בתוך מים בתוך הסיר.,NotDescriptive
23,“איפה הראש שלי” מאת תמי לבנת מלכה,לוקחים אותי לחדר ניתוח.,NotDescriptive
24,“איפה הראש שלי” מאת תמי לבנת מלכה,"חטפתי במהירות את השמנים הראשונים שנתקלתי בהם, ביקשתי שיוסיפו לחשבון וברחתי משם.",NotDescriptive
25,“איפה הראש שלי” מאת תמי לבנת מלכה,"אני נכנסת לחדר של בני, לוקחת את דובי תכלת האהוב שלו ומלטפת אותו. אני לא אתפרק.",NotDescriptive
26,“איפה הראש שלי” מאת תמי לבנת מלכה,"ידעתי שזה מטופש לשבת כך, בדיוק כפי שידעתי כשישבתי עם דב בבתי הקפה באירופה.",NotDescriptive
27,“איפה הראש שלי” מאת תמי לבנת מלכה,עלייך לתקן את מאזן הכוחות.,NotDescriptive
28,“איפה הראש שלי” מאת תמי לבנת מלכה,"נשימות עמוקות, תתרכזי רק בנשימות.",Descriptive
29,“איפה הראש שלי” מאת תמי לבנת מלכה,החזקתי את התיק שלי כמו שמרימים תינוק ורצתי הביתה.,NotDescriptive
30,“איפה הראש שלי” מאת תמי לבנת מלכה,"שילך לעזאזל, שיחשוב שאני משוגעת.",NotDescriptive
31,“איפה הראש שלי” מאת תמי לבנת מלכה,"“אמא, אח, את מכאיבה לי חזק מידי.”",Descriptive
32,“איפה הראש שלי” מאת תמי לבנת מלכה,אמא תמיד אומרת שאפשר להסיר כל לכלוך.,NotDescriptive
33,“איפה הראש שלי” מאת תמי לבנת מלכה,אני רוצה לישון ולישון.,Descriptive
34,“איפה הראש שלי” מאת תמי לבנת מלכה,"דב מדבר שטויות, והוא כל כך מטומטם שמתחשק לי למות.",Descriptive
35,“איפה הראש שלי” מאת תמי לבנת מלכה,"בנשימה העמוקה השלישית הגוף החל לצוף, להרגיש נינוח.",Descriptive
36,“איפה הראש שלי” מאת תמי לבנת מלכה,"בנשימה העמוקה השלישית הגוף החל לצוף, להרגיש נינוח.",NotDescriptive
37,“איפה הראש שלי” מאת תמי לבנת מלכה,"חסרת גבולות, טעיתי להאמין שדב הוא חלק ממני או שאני חלק ממנו. ",NotDescriptive
38,“איפה הראש שלי” מאת תמי לבנת מלכה,בלעתי כדור שינה ולא הצלחתי להירדם. ,NotDescriptive
39,“איפה הראש שלי” מאת תמי לבנת מלכה,"חרא! רותי, היא פה! לא הכנתי את מיטת הטיפולים.",NotDescriptive
40,“איפה הראש שלי” מאת תמי לבנת מלכה,"מתחתי את הלחיים חזק עד שהרגשתי ששפתיי עומדות להיקרע. הפסקתי. הרמתי את אפי כלפי מעלה בכל הכוח, מתחתי את העיניים כמו “סינית” עד שלא ראיתי דבר.",Descriptive
41,“איפה הראש שלי” מאת תמי לבנת מלכה,"חסרת אחריות, לא דוגמה ולא מופת.",Descriptive
42,“איפה הראש שלי” מאת תמי לבנת מלכה,"חסרת אחריות, לא דוגמה ולא מופת.",Descriptive
43,“איפה הראש שלי” מאת תמי לבנת מלכה,הסכנה חלפה. נותרו עוד עשרים וחמש דקות.,NotDescriptive
44,“איפה הראש שלי” מאת תמי לבנת מלכה,"על אישה מגעילה: יולדת שהתעקשה לא לעשות חוקן, ואז היא חרבנה להם על המיטה ועל הרופא. קר לי.",Descriptive
45,“איפה הראש שלי” מאת תמי לבנת מלכה,"זה רק כימיה במוח, איזה קצר קטן, זה תכף יעבור, את לא תתקעי כך לנצח.",Descriptive
46,“איפה הראש שלי” מאת תמי לבנת מלכה,"בדקי שאין סימנים על גופו, שהיום עבר בשלום.",NotDescriptive
47,“איפה הראש שלי” מאת תמי לבנת מלכה,"התקלחתי כי ידעתי שדב רגיש לריחות, והוא יזהה מייד כל ריח שהוא לא שלו או שלי.",NotDescriptive
48,“איפה הראש שלי” מאת תמי לבנת מלכה,הפכתי למטפלת מומחית בהילינג.,NotDescriptive
49,“איפה הראש שלי” מאת תמי לבנת מלכה, לא! מסטיק לא הולך יחד עם טיפול.,Descriptive
50,“איפה הראש שלי” מאת תמי לבנת מלכה," חזרתי למיטה בתקווה להירדם. פחדתי שאם אצליח, לא אתעורר בזמן לטיפול של רותי בשעה אחת בצהריים.",NotDescriptive
51,“איפה הראש שלי” מאת תמי לבנת מלכה,לא לתת לה הזדמנות להשחיל מילה.,NotDescriptive
52,“איפה הראש שלי” מאת תמי לבנת מלכה,"בחרתי עבורו בגדים, הכנתי לו שוקו.",MightDescriptive
53,“איפה הראש שלי” מאת תמי לבנת מלכה,ואני לומדת להיות רוחנית מבלי שהרוח תישוב עליי.,NotDescriptive
54,“איפה הראש שלי” מאת תמי לבנת מלכה,נועלת את מחשבותיי.,NotDescriptive
55,“איפה הראש שלי” מאת תמי לבנת מלכה,הייתי רוצה להחזיק אקדח טעון בין הבטן למכנסיים ולשלוף אותו ברגע הזה שאנשים עוברים את הגבול.,NotDescriptive
56,“איפה הראש שלי” מאת תמי לבנת מלכה,לעשות את מה שאני צריכה לעשות,Descriptive
57,“איפה הראש שלי” מאת תמי לבנת מלכה,"כמו דבק או פלסטר שנדבק לעור, בזמן שמקלפים אותו מהגוף.",Descriptive
58,“איפה הראש שלי” מאת תמי לבנת מלכה,עברתי בין החלונות הרבים והגפתי אותם.,NotDescriptive
59,“איפה הראש שלי” מאת תמי לבנת מלכה,"הטרחן הזה, הוא לא מרפה.",Descriptive
60,“איפה הראש שלי” מאת תמי לבנת מלכה,"אני אשכב לצידו במיטה ואקווה שיירדם מהר כדי ששוב אוכל להיות עם עצמי; חסרת אחריות, לא דוגמה ולא מופת",MightDescriptive
61,“איפה הראש שלי” מאת תמי לבנת מלכה,נאמנה וחדורת מטרה. ,NotDescriptive
62,“איפה הראש שלי” מאת תמי לבנת מלכה,תבוננתי על הכול בשידור חי.,NotDescriptive
63,“איפה הראש שלי” מאת תמי לבנת מלכה, פס קפוא ומאלחש נמרח על בטני וגופי חש בתלישה.,Descriptive
64,“איפה הראש שלי” מאת תמי לבנת מלכה,השכן סובב את גבו והלך.,NotDescriptive
65,“איפה הראש שלי” מאת תמי לבנת מלכה,"מתחת לשמיכות יש צינור שמזרים רוח חמה, אבל אני לא מפשירה.",Descriptive
66,“איפה הראש שלי” מאת תמי לבנת מלכה, אני מוכרחה להחזיק מעמד שש וחצי דקות.,NotDescriptive
67,“איפה הראש שלי” מאת תמי לבנת מלכה,"עוד שעה מגיעה גברת רותי לטיפול הילינג ועיסוי כפות רגליים, תחזרי להיות בן אדם!",MightDescriptive
68,“איפה הראש שלי” מאת תמי לבנת מלכה," תלכו ממני, גברים! אלך מכם הרחק אל ארץ טובה נטולת זכריות, זיכרונות, מזכרות, אהבות כזב, זיונים מלוכלכים, זיבולי מוח, זמזומים שלא פוסקים.",Descriptive
69,“איפה הראש שלי” מאת תמי לבנת מלכה,אסור שמישהו יגלה את סבלי.,NotDescriptive
70,“איפה הראש שלי” מאת תמי לבנת מלכה,לא אצליח לקשקש עוד הרבה.,NotDescriptive
