,Story,Sentence,Type
0,משפחה - דבורה בארון,פניה עם החריצים הכהים מתחת לעיניה – פני תינוקת לא רוחמה,Descriptive
1,משפחה - דבורה בארון,ויחי ירד שתים וששים שנה ומאת שנה ויוֹלד את – חנוך.,NotDescriptive
2,משפחה - דבורה בארון,"כבר נבקע הנהר בכר האָחוּ, ובשעת שפשוּף השמשות אפשר היה לראות מעל אדן החלון היאך הוא מתגעש שם, נזעם עדיין על שרידי קרחוֹ, אף כי על שפתוֹ טבלו כבר האנשים את כליהם החדשים, וגוֹיים הרריים העלו משם בסליהם את זאבי־המים הגמישים, ישרי הגו, עם נקודות הזהב העליזות בקשקשיהם.",Descriptive
3,משפחה - דבורה בארון,"אופי לחם היו האנשים מדור דור; הסדר נשנה רק בזה, שכאשר הזקין איזה מאיר ונחלש, יצא הוא לשאוב מים, ובנו, חיים, אָפה את הלחם, וכשהזקין חיים, שאַב הוּא את המים ובנו, ליזר, אָפה את הלחם.",NotDescriptive
4,משפחה - דבורה בארון,"בעירתי, אשר שם נקראו האנשים על שם האבות המתים, הדבר הוא ברור עוד יותר.",NotDescriptive
5,משפחה - דבורה בארון,"גגית המים עם ברקה האפלולי, הקר,",Descriptive
6,משפחה - דבורה בארון,"התקדש חג של שמונה ימים, על מנוּחה וביקוּרים הדדיים וקירוב לבבות.",NotDescriptive
7,משפחה - דבורה בארון,איש שיבה היה ומהלך אט. גבּוֹ הכפוּף התאים יפה למשקע אשר באסל.,Descriptive
8,משפחה - דבורה בארון,"מעל השולחנות הוסרו אמנם המפות, אולם במטבּח נופה כבר קמח הסוֹלת לחלות הלחם והוכנוּ הפול והגריסין לתבשילי החמין.",Descriptive
9,משפחה - דבורה בארון,"מפני קריאת הקדיש לא יכול להפליג אל הכפרים הרחוקים, ואז סודר כי הוא יבוא רק אל החוות הקרובות שאפשר לבקרן בין שחרית למנחה.
",NotDescriptive
10,משפחה - דבורה בארון,דינה טאטאה את החצר ורחצה את האצטבה לפני הבית,NotDescriptive
11,משפחה - דבורה בארון,"כשנשמע, לבסוף, ביום הששי קול רגליו בחצר, התפּרצה לקראתו אל הפרוזדור ופה, בין המרתף וסולם העליה, הניחה את ראשה,",NotDescriptive
12,משפחה - דבורה בארון,שוב היתה פה לבדה וישבה על הסף,NotDescriptive
13,משפחה - דבורה בארון,"היה, כאָמוּר, בעל שיעור הקומה הניכר ביניהם, וּבלכתוֹ והאציל כעין בטחה על מלויו. חוֹסן היה בו ותקיפוּת דעת, ולו מקל אלון, אַמתיים אָרכוֹ, שהיה נושאוֹ כשאת איש כלי־זין בידו.",Descriptive
14,משפחה - דבורה בארון,"אולם קרה גם אשר לא בא המשך מאיזה בית־אָב, בּמנוֹע ממנו האלהים ברכה, ואז היה זה כאילו נקעה מן השוּרה אחת החוּליות, וכל השלשלת נזדעזעה.",NotDescriptive
15,משפחה - דבורה בארון,"ליד החלון הפתוח, במקום שהרוח התאַושה בין צמחי העציצים",Descriptive
16,משפחה - דבורה בארון,"והיתה מתרפקת על דינה רכּוֹת, נשקה לה במחשוֹף שבּין הצוארון וּמטפּחת הראש, וקראה לה ‘דוֹדה’, אף כי לא היה אלא קרובה רחוקה.",NotDescriptive
17,משפחה - דבורה בארון,על הקיר האָפל חלפוּ מנגד בבוּאות פּנסיהם כעֵדר של כּבשי זהב,Descriptive
18,משפחה - דבורה בארון,"אלה – כבר עלו בהם ניצנים חדשים, והם התמשכו, כמו באצבעות, להיאחז בשלבי ‘הסולמות’",Descriptive
19,משפחה - דבורה בארון,"חוט הצמר נמשך ציתני ורך כמו לפנים, בשעת סריגת המפּוֹת",Descriptive
20,משפחה - דבורה בארון,"אחר נתנו את דעתן לסעדו במחלתו ובשלו בשבילו מרק של עוף, כל אחת בביתה, לחוד, והוא אכל משל שתיהן וביקש לקרוא אליו את שלמה הדוד, זקן המשפחה, כדי לצוות לביתו.
",NotDescriptive
21,משפחה - דבורה בארון,"עם רפוֹת היום באָה ליבקה, היתומה, ועמדה ברגליה שטרם נשזפו ב’חלונות' השמש שעל הרצפה.",NotDescriptive
22,משפחה - דבורה בארון,כתוֹם שנת האֵבל התחיל ברוּך לצאת אל הכפרים הרחוקים וללינה בלילות נשלחה הנה אחת מן הנערות התאוֹמות הגדלות בבית שלמה הזקן.,NotDescriptive
23,משפחה - דבורה בארון,"הנה האופה, אשר אצלו קניתי את לחם השיפון בכל יום",NotDescriptive
24,משפחה - דבורה בארון,נראתה כממלאה את כל המטה.,Descriptive
25,משפחה - דבורה בארון,אחרי המנחה נכנסה דינה לבשל את ארוּחת ערבּה,NotDescriptive
26,משפחה - דבורה בארון,"בראש חודש אלול הוחגה החתונה, והכלה הובאה לבית חמיה",NotDescriptive
27,משפחה - דבורה בארון,"עוד היה הכפוֹר על הארץ ושואבי המים ירדו עטוּפים באדרותיהם אל הבאר, אולם בבית האופה נאפה כבר הלחם על מצע של קני אגמון, ומן האָחו עלה קול חלילו של הרועה בסלסוּלים נוחים, חסרי דאגה, אביביים",Descriptive
28,משפחה - דבורה בארון,בימי שבּתוֹן לבשוּ בגדי קמלט ונשיהם – אַטלס מוּצק,Descriptive
29,משפחה - דבורה בארון,"רוּגות מספּר שגדל בהן הצנון והבצל, מעט קטניות מן המטפּסות וגם דלוּעים, בשביל הגרעינים ללילי שבּתוֹת.",Descriptive
30,משפחה - דבורה בארון,"מזמן לזמן ירדו גשמי האביב עם הרעמים הראשונים, המתוּנים, אלה אשר עליהם יספּיקו לברך תוך כדי גלגולם.",NotDescriptive
31,משפחה - דבורה בארון,"כבדת עפעפים ועבותת צמה, וצחוקה ניתז רסיסים, רסיסים, ומעלה על הלב את זכר המעין המתבעבע",Descriptive
32,משפחה - דבורה בארון,"ציצי השדה רחשוּ פה, כזרעים בתוך ערוּגה של גן, וכאשר ירד מזמן לזמן גשם הקיץ ואלה עמדוּ פה בידיהם הפשוּטות בתפילה",Descriptive
33,משפחה - דבורה בארון,צועת הנהר למטה הקדירה והעֵדר באָחו נצטפף וכמו נדלדל פתאום,Descriptive
34,משפחה - דבורה בארון,וחרדה גדולה עמדה בה כל אותו יום.,NotDescriptive
