,Story,Sentence,Type
0,או הנרי - העלה האחרון,"""תגידי לי ברגע שתסיימי"" אמרה ג'ונסי ועצמה עיניה,לבנה ודמומה בשכיבתה כמו פסל שנפל, ""כי אני רוצה לראות את העלה האחרון נושר.",NotDescriptive
1,או הנרי - העלה האחרון,"""תגידי לי ברגע שתסיימי"" אמרה ג'ונסי ועצמה עיניה,לבנה ודמומה בשכיבתה כמו פסל שנפל, ""כי אני רוצה לראות את העלה האחרון נושר.",NotDescriptive
2,או הנרי - העלה האחרון,"""תגידי לי ברגע שתסיימי"" אמרה ג'ונסי ועצמה עיניה,לבנה ודמומה בשכיבתה כמו פסל שנפל, ""כי אני רוצה לראות את העלה האחרון נושר.",NotDescriptive
3,או הנרי - העלה האחרון,"אחר כך מצאו פנס וסולם וכמה מכחולים מפוזרים ופלטת עם ירוק וצהוב מעורבבים עליה,ותסתכלי מהחלון,בעלה האחרון שעל הקיר.",NotDescriptive
4,או הנרי - העלה האחרון,"אחר כך מצאו פנס וסולם וכמה מכחולים מפוזרים ופלטת עם ירוק וצהוב מעורבבים עליה,ותסתכלי מהחלון,בעלה האחרון שעל הקיר.",NotDescriptive
5,או הנרי - העלה האחרון,"אחר כך מצאו פנס וסולם וכמה מכחולים מפוזרים ופלטת עם ירוק וצהוב מעורבבים עליה,ותסתכלי מהחלון,בעלה האחרון שעל הקיר.",NotDescriptive
6,או הנרי - העלה האחרון,היא נגשה במהירות את המיטה.,NotDescriptive
7,או הנרי - העלה האחרון,היא נגשה במהירות את המיטה.,NotDescriptive
8,או הנרי - העלה האחרון,היא נגשה במהירות את המיטה.,NotDescriptive
9,או הנרי - העלה האחרון,"את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",Descriptive
10,או הנרי - העלה האחרון,"את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",Descriptive
11,או הנרי - העלה האחרון,"את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",Descriptive
12,או הנרי - העלה האחרון,ברמן לעג לדמיונות השטותיים האלה.,Descriptive
13,או הנרי - העלה האחרון,ברמן לעג לדמיונות השטותיים האלה.,Descriptive
14,או הנרי - העלה האחרון,ברמן לעג לדמיונות השטותיים האלה.,Descriptive
15,או הנרי - העלה האחרון,"אעשה כל מה שהמדע יכול"" אמר הרופא ""אבל כל פעם שהחולה מתחיל את הספירה לאחור אני מוריד חמישים אחוז מכח הריפוי של התרופות"",  ""אבל אם תגרמי לה לחשוב על משהו אחר, אני מבטיח לך בשבילה סיכוי של אחת לחמש,במקום אחת לעשר"".",NotDescriptive
16,או הנרי - העלה האחרון,"אעשה כל מה שהמדע יכול"" אמר הרופא ""אבל כל פעם שהחולה מתחיל את הספירה לאחור אני מוריד חמישים אחוז מכח הריפוי של התרופות"",  ""אבל אם תגרמי לה לחשוב על משהו אחר, אני מבטיח לך בשבילה סיכוי של אחת לחמש,במקום אחת לעשר"".",NotDescriptive
17,או הנרי - העלה האחרון,"אעשה כל מה שהמדע יכול"" אמר הרופא ""אבל כל פעם שהחולה מתחיל את הספירה לאחור אני מוריד חמישים אחוז מכח הריפוי של התרופות"",  ""אבל אם תגרמי לה לחשוב על משהו אחר, אני מבטיח לך בשבילה סיכוי של אחת לחמש,במקום אחת לעשר"".",NotDescriptive
18,או הנרי - העלה האחרון,היא החלה ברישום איור לכתב עת כשלפתע שמעה קול חרישי חוזר ונשנה פעמים אחדות.,NotDescriptive
19,או הנרי - העלה האחרון,היא החלה ברישום איור לכתב עת כשלפתע שמעה קול חרישי חוזר ונשנה פעמים אחדות.,NotDescriptive
20,או הנרי - העלה האחרון,היא החלה ברישום איור לכתב עת כשלפתע שמעה קול חרישי חוזר ונשנה פעמים אחדות.,NotDescriptive
21,או הנרי - העלה האחרון,זה חטא לרצות למות,NotDescriptive
22,או הנרי - העלה האחרון,זה חטא לרצות למות,NotDescriptive
23,או הנרי - העלה האחרון,זה חטא לרצות למות,NotDescriptive
24,או הנרי - העלה האחרון,"""אין דבר כזה"" ענתה לו סו.",NotDescriptive
25,או הנרי - העלה האחרון,"""אין דבר כזה"" ענתה לו סו.",NotDescriptive
26,או הנרי - העלה האחרון,"""אין דבר כזה"" ענתה לו סו.",NotDescriptive
27,או הנרי - העלה האחרון,"שטויות"" אמרה סו,""מה בין נשירת עלים להחלמה שלך? הרי הבוקר הרופא אמר לי שהסיכויים שלך להבריא הם עשר לאחת.זהו סיכוי טוב,כמעט כמו זה שיש לנו בניו יורק בנסיעה בחשמלית,נסי לאכול קצת מרק.""",NotDescriptive
28,או הנרי - העלה האחרון,"שטויות"" אמרה סו,""מה בין נשירת עלים להחלמה שלך? הרי הבוקר הרופא אמר לי שהסיכויים שלך להבריא הם עשר לאחת.זהו סיכוי טוב,כמעט כמו זה שיש לנו בניו יורק בנסיעה בחשמלית,נסי לאכול קצת מרק.""",NotDescriptive
29,או הנרי - העלה האחרון,"שטויות"" אמרה סו,""מה בין נשירת עלים להחלמה שלך? הרי הבוקר הרופא אמר לי שהסיכויים שלך להבריא הם עשר לאחת.זהו סיכוי טוב,כמעט כמו זה שיש לנו בניו יורק בנסיעה בחשמלית,נסי לאכול קצת מרק.""",NotDescriptive
30,או הנרי - העלה האחרון,עיניה של ג'ונסי היו פקוחות לרווחה והיא הסתכלה אל עבר החלון וספרה-ספרה לאחור.,NotDescriptive
31,או הנרי - העלה האחרון,עיניה של ג'ונסי היו פקוחות לרווחה והיא הסתכלה אל עבר החלון וספרה-ספרה לאחור.,NotDescriptive
32,או הנרי - העלה האחרון,עיניה של ג'ונסי היו פקוחות לרווחה והיא הסתכלה אל עבר החלון וספרה-ספרה לאחור.,NotDescriptive
33,או הנרי - העלה האחרון,תמיד עמד לצייר יצירת מופת אך מעולם לא התחיל בה.,NotDescriptive
34,או הנרי - העלה האחרון,תמיד עמד לצייר יצירת מופת אך מעולם לא התחיל בה.,NotDescriptive
35,או הנרי - העלה האחרון,תמיד עמד לצייר יצירת מופת אך מעולם לא התחיל בה.,NotDescriptive
36,או הנרי - העלה האחרון,"הגברת הקטנה שלך הכניסה לה לראש שהיא לא תחלים,האם יש משהו שמעסיק אותה,ויכול להסיח את דעתה?",NotDescriptive
37,או הנרי - העלה האחרון,"הגברת הקטנה שלך הכניסה לה לראש שהיא לא תחלים,האם יש משהו שמעסיק אותה,ויכול להסיח את דעתה?",NotDescriptive
38,או הנרי - העלה האחרון,"הגברת הקטנה שלך הכניסה לה לראש שהיא לא תחלים,האם יש משהו שמעסיק אותה,ויכול להסיח את דעתה?",NotDescriptive
39,או הנרי - העלה האחרון,"נשארו ארבעה.אני רוצה לראות את האחרון נושר לפני שיחשיך,אז גם אני אלך"".",NotDescriptive
40,או הנרי - העלה האחרון,"נשארו ארבעה.אני רוצה לראות את האחרון נושר לפני שיחשיך,אז גם אני אלך"".",NotDescriptive
41,או הנרי - העלה האחרון,"נשארו ארבעה.אני רוצה לראות את האחרון נושר לפני שיחשיך,אז גם אני אלך"".",NotDescriptive
42,או הנרי - העלה האחרון,"סו ענתה,""היא רצתה לצייר יום אחד את מפרץ נפולי"",",NotDescriptive
43,או הנרי - העלה האחרון,"סו ענתה,""היא רצתה לצייר יום אחד את מפרץ נפולי"",",NotDescriptive
44,או הנרי - העלה האחרון,"סו ענתה,""היא רצתה לצייר יום אחד את מפרץ נפולי"",",NotDescriptive
45,או הנרי - העלה האחרון,"הייתי ילדה רעה,סו""אמרה ג'ונסי, ""העלה האחרון הצליח איכשהו להשאר שם כדי להראות לי כמה שהייתי רעה.",NotDescriptive
46,או הנרי - העלה האחרון,"הייתי ילדה רעה,סו""אמרה ג'ונסי, ""העלה האחרון הצליח איכשהו להשאר שם כדי להראות לי כמה שהייתי רעה.",NotDescriptive
47,או הנרי - העלה האחרון,"הייתי ילדה רעה,סו""אמרה ג'ונסי, ""העלה האחרון הצליח איכשהו להשאר שם כדי להראות לי כמה שהייתי רעה.",NotDescriptive
48,או הנרי - העלה האחרון,"האם יש משהו מלבד הציור כגון גבר,אשר מעסיק את מחשבותיה",NotDescriptive
49,או הנרי - העלה האחרון,"האם יש משהו מלבד הציור כגון גבר,אשר מעסיק את מחשבותיה",NotDescriptive
50,או הנרי - העלה האחרון,"האם יש משהו מלבד הציור כגון גבר,אשר מעסיק את מחשבותיה",NotDescriptive
51,או הנרי - העלה האחרון,"ג'ונסי לא ענתה, מחשבת השטן השתלטה עליה.",NotDescriptive
52,או הנרי - העלה האחרון,"ג'ונסי לא ענתה, מחשבת השטן השתלטה עליה.",NotDescriptive
53,או הנרי - העלה האחרון,"ג'ונסי לא ענתה, מחשבת השטן השתלטה עליה.",NotDescriptive
54,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות",NotDescriptive
55,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות",NotDescriptive
56,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות",NotDescriptive
