;Sentence;Type
0;לבלה  שרה  עיניים יפות, מכיוון שעיניה חומות כשחשופות לאור שמש.;Descriptive
1;למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  לבנים  כך שהיא נראית גבוהה היום.;Descriptive
2;למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  כחולים  כך שהיא נראית גבוהה היום.;Descriptive
3;למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  שחורים  כך שהיא נראית גבוהה היום.;Descriptive
4;למרות שהיא קצרה, ליטה משתמשת בבגדים עם קווים  ארוכים  כך שהיא נראית גבוהה היום.;Descriptive
5; רודי  עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
6;כאשר  הצליח  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
7;כאשר  ניסה  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
8;כאשר  רודי  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
9;כאשר  ניסו  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
10;כאשר  נאלץ  להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
11;כאשר עמד  ונפל  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
12;כאשר עמד  לבדו  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
13;כאשר עמד  שוב  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
14;כאשר עמד  כמעט  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
15;כאשר עמד  בטעות  למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
16;כאשר עמד להיכנס למערה,  הוא  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
17;כאשר עמד להיכנס למערה,  הנרי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
18;כאשר עמד להיכנס למערה,  הארי  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
19;כאשר עמד להיכנס למערה,  אדם  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
20;כאשר עמד להיכנס למערה,  אלכסנדר  נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
21;כאשר עמד להיכנס למערה, רודי  נקלע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
22;כאשר עמד להיכנס למערה, רודי  הגיע  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
23;כאשר עמד להיכנס למערה, רודי  נכנס  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
24;כאשר עמד להיכנס למערה, רודי  היה  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
25;כאשר עמד להיכנס למערה, רודי  האחראי  למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
26;כאשר עמד להיכנס למערה, רודי נפל למצב בו  רודי  גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
27;כאשר עמד להיכנס למערה, רודי נפל למצב בו  הוא  גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
28;כאשר עמד להיכנס למערה, רודי נפל למצב בו  כמעט  גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
29;כאשר עמד להיכנס למערה, רודי נפל למצב בו  המקל  גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
30;כאשר עמד להיכנס למערה, רודי נפל למצב בו  התובע  גרם לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
31;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  גרם  לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
32;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הורה  לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
33;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  נתן  לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
34;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  הרשה  לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
35;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא  איפשר  לברכיו לדמם מכריתה מפלדה חדה.;Descriptive
36;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  רודי  מכריתה מפלדה חדה.;Descriptive
37;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  חבריו  מכריתה מפלדה חדה.;Descriptive
38;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  אחיו  מכריתה מפלדה חדה.;Descriptive
39;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו  התאומים  מכריתה מפלדה חדה.;Descriptive
40;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו !  מכריתה מפלדה חדה.;Descriptive
41;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  מקור ;Descriptive
42;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  1 ;Descriptive
43;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  צילום ;Descriptive
44;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  2 ;Descriptive
45;כאשר עמד להיכנס למערה, רודי נפל למצב בו הוא גרם לברכיו לדמם מכריתה מפלדה  אורלי ;Descriptive
46;הברזל  המכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
47;הברזל  פתח  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
48;הברזל  מכסה  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
49;הברזל  סימן  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
50;הברזל  החליף  את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
51;הברזל שחתך את ברכו של  ישו  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
52;הברזל שחתך את ברכו של  משה  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
53;הברזל שחתך את ברכו של  אברהם  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
54;הברזל שחתך את ברכו של  דוד  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
55;הברזל שחתך את ברכו של  הזקן  היה משמאל למערה והוא היה חום מכיוון שהיה במערה הרבה זמן;Descriptive
56;הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  השמש  במערה הרבה זמן;Descriptive
57;הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  כנראה  במערה הרבה זמן;Descriptive
58;הברזל שחתך את ברכו של רודי היה משמאל למערה והוא היה חום מכיוון  לא  במערה הרבה זמן;Descriptive
59;חוסנה  בתמונה  היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
60;חוסנה לבשה היום חולצה  שחורה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
61;חוסנה לבשה היום חולצה  לבנה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
62;חוסנה לבשה היום חולצה  אדומה  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
63;חוסנה לבשה היום חולצה  לבן  וחצאית שחורה, נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
64;חוסנה לבשה היום חולצה לבנה וחצאית  שחורה  נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
65;חוסנה לבשה היום חולצה לבנה וחצאית  לבנה  נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
66;חוסנה לבשה היום חולצה לבנה וחצאית  קצרה  נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
67;חוסנה לבשה היום חולצה לבנה וחצאית  חצאית  נראה שהיום היא תהיה מתמחה בעבודתה.;Descriptive
68;חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  בתקווה  שהיום היא תהיה מתמחה בעבודתה.;Descriptive
69;חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כנראה  שהיום היא תהיה מתמחה בעבודתה.;Descriptive
70;חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  כמובן  שהיום היא תהיה מתמחה בעבודתה.;Descriptive
71;חוסנה לבשה היום חולצה לבנה וחצאית שחורה,  ברור  שהיום היא תהיה מתמחה בעבודתה.;Descriptive
72;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  חמישי  תהיה מתמחה בעבודתה.;Descriptive
73;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  רביעי  תהיה מתמחה בעבודתה.;Descriptive
74;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  ראשון  תהיה מתמחה בעבודתה.;Descriptive
75;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שישי  תהיה מתמחה בעבודתה.;Descriptive
76;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שלישי  תהיה מתמחה בעבודתה.;Descriptive
77;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  כנראה  מתמחה בעבודתה.;Descriptive
78;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  היא  מתמחה בעבודתה.;Descriptive
79;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  שוב  מתמחה בעבודתה.;Descriptive
80;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  אני  מתמחה בעבודתה.;Descriptive
81;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  לא  מתמחה בעבודתה.;Descriptive
